mirna_id,DO27767,DO27777,DO27779,DO27783,DO27789,DO27807,DO27809,DO27811,DO27813,DO27815,DO27827,DO27833,DO27851,DO27853,DO27855,DO27857
hsa-mir-4423_mature3p,4.1501049482,0.5076833329,1.8728026678999998,0.0,2.1750712006,24.8230166586,7.5087832517,1.7552460149,4.7398602704,2.6417560577000003,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4423_mature5p,1.1292802579999999,0.0,0.6221935774,0.0,0.2301662646,8.1412605881,1.2770039544,0.0,0.392535012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4423_moR5p,0.0,0.0,0.0,0.0,0.2197041617,0.7472310854,0.0,0.7978390976999999,0.5620387672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4424_gene,0.43045506310000003,0.4180921565,0.1229747306,0.0,35.832284075,0.2320811842,0.3785941135,542.500131053,0.2424480957,0.6561224196000001,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4424_mature3p,0.0,0.2307651513,0.0,0.0,27.5728722903,0.0,0.243791664,379.4611397429,0.0,0.8005321387000001,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4424_mature5p,1.7423181124,1.4505238081999998,0.49775486189999996,0.0,115.9194030679,0.9393762217,1.2770039544,1796.6314830885,0.9813375301,1.8170808862,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4424mature,6.68051081509348e-07,1.9354324883568398e-07,1.73982681937823e-07,0.00030371073665349103,1.82983932050224e-05,2.7412040245261004e-07,1.6875254942913999e-07,0.000152380703904796,1.7376011040578404e-07,2.51413614952339e-07,9.354054712489621e-07,1.2553086621641199e-05,5.61699087313876e-07,4.71849924243551e-06,6.83671864851746e-06,2.65778611731999e-06
hsa-mir-4425_gene,0.19048100739999999,1.406833332,0.0,0.0,0.2911741902,0.44893883689999997,0.9046726809000001,0.0,1.7876895729,0.353648736,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4425_mature3p,0.6775681548,5.5603412647,0.0,0.0,1.1508313231,1.7221897398,3.5756110722,0.0,6.280560192699999,1.3977545278999999,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4425_mature5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749385023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4425mature,2.904569919605861e-07,7.41915787203456e-07,0.0,5.63470754459167e-07,1.81531678621254e-07,5.02554071163118e-07,4.725071384015929e-07,0.0,1.11206470659702e-06,2.0951134579361602e-07,0.0,8.48181528489273e-08,5.61699087313876e-07,1.13243981818452e-07,2.01079960250513e-07,0.0
hsa-mir-4426_gene,0.2161418128,0.0682370071,0.1548960946,0.0,0.0155919082,0.0936851017,0.19464011890000002,0.10065926970000001,0.1329554073,0.1420298956,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4426_mature5p,0.0,0.0,0.22865613969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.22014633809999998,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4426_moR3p,0.0,0.0,0.0,0.0,0.0,0.059778486799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4426mature,2.0331989437241e-07,0.0,1.3048701145336698e-07,0.0,0.0,4.56867337421017e-08,3.37505098858281e-08,0.0,3.47520220811568e-08,4.19022691587231e-08,0.0,0.0,1.87233029104625e-07,0.0,0.0,0.0
hsa-mir-4428_moR3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030712501000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4429_gene,0.0329373409,0.035255787000000004,0.0181473127,0.0,0.0335659136,0.0228320609,0.0744918973,0.0406306948,0.0286223446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4429_mature5p,0.1248151864,0.13360087710000002,0.0687687638,0.0,0.1271971462,0.0865214941,0.28228508469999997,0.1539689487,0.1084636217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4429mature,2.90456991960586e-08,0.0,0.0,0.0,0.0,0.0,3.37505098858281e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.54959878789681e-08,0.0,0.0
hsa-mir-4430_gene,0.0,0.0037774058,0.0,0.0,0.0,0.0,0.0,0.0,0.005051002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4432_gene,0.0,0.0,0.6611743797999999,0.0,0.1747045141,0.1188367509,0.0646194772,3.9240439691000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4432_mature3p,0.0,0.0,0.0,0.0,0.0,0.5191289646,0.0,14.165143278399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4432mature,0.0,0.0,9.134090801735692e-07,0.0,1.08919007172752e-07,1.3706020122630502e-07,3.37505098858281e-08,1.29977337387775e-06,0.0,0.0,0.0,1.69636305697855e-07,0.0,3.77479939394841e-08,0.0,0.0
hsa-mir-4433-3pmature,0.0,0.0,4.349567048445561e-08,0.0,0.0,0.0,0.0,0.0,4.86528309136195e-07,0.0,0.0,8.48181528489273e-08,0.0,0.0,0.0,0.0
hsa-mir-4433-5pmature,8.71370975881758e-08,6.45144162785614e-08,0.0,0.0,0.0,1.8274693496840696e-07,3.37505098858281e-08,0.0,6.3596200408517e-06,1.25706807476169e-07,1.03933941249885e-07,0.0,0.0,0.0,0.0,0.0
hsa-mir-4433_gene,0.0592872135,0.1269208332,0.0326651628,0.0,0.0,0.16439083880000002,0.0670427076,0.0,10.192416922,0.22014633809999998,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4433_mature3p,0.0,0.0,0.1306606512,0.0,0.0,0.0,0.0,0.0,2.8851323385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4433_mature5p,0.2371488542,0.5076833329,0.0,0.0,0.0,0.6575633552000001,0.2681708304,0.0,36.3732755533,0.8805853526,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4434_gene,1.0337257747,1.8549967932,1.4573688024,0.0,6.2587518877,2.1497263534999997,0.10314262710000001,7.8010933997,1.9815469358000002,11.40245136,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4434_mature5p,0.8369959559000001,2.3890980369999997,3.6892419175,0.0,5.4021376224,1.9340098682,0.0,3.7858247381,3.1518252437,13.467775980299999,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4434mature,9.875537726659927e-07,6.128869546463329e-07,1.26137444404921e-06,6.57382546869028e-07,2.4325244935248e-06,1.55334894723146e-06,3.37505098858281e-08,1.6306247781375499e-06,8.6880055202892e-07,4.23212918503103e-06,1.40310820687344e-06,1.78118120982747e-06,3.74466058209251e-07,2.18938364849008e-06,3.0161994037577007e-06,4.0889017189538396e-07
hsa-mir-4435-1_gene,0.4069220845,9.061183536,0.5292583342,0.0,0.8259764053,2.5386939663,1.6972837368,27.2544528901,2.6086187509,0.7431100022,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4435-1_mature3p,0.0,0.346147727,0.0,0.0,0.0,0.0,0.0,0.2659463659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
